product_id,product_name,brand,category,sub_category,supplier_id,cost_price,selling_price,gst_percent,shelf_life_days,reorder_level,reorder_quantity,weight,unit,launch_date,status
23,Dabur Namkeen,Dabur,Snacks,Namkeen,144,425.53,570.74,5,60,43,130,3.69,kg,2023-01-23 00:00:00,Active
24,Nestle Baby Soap,Nestle,Baby Care,Baby Soap,108,874.51,1159.5,5,180,22,174,0.53,pcs,2023-03-29 00:00:00,Active
25,Britannia Chocolate,Britannia,Snacks,Chocolate,86,1605.07,1899.04,12,60,86,257,6.03,pcs,2022-07-30 00:00:00,Active
26,Patanjali Soap,Patanjali,Personal Care,Soap,445,816.83,1263.55,18,60,48,475,4.17,g,2025-10-11 00:00:00,Active
27,Surf Excel Chocolate,Surf Excel,Snacks,Chocolate,176,487.17,697.34,18,365,95,85,2.38,ml,2026-02-06 00:00:00,Active
28,Surf Excel Salt,Surf Excel,Grocery,Salt,215,1549.37,2071.31,5,365,32,140,4.81,pcs,2026-07-03 00:00:00,Active
29,Nestle Frying Pan,Nestle,Kitchen,Frying Pan,462,181.34,254.52,0,180,86,265,3.77,kg,2023-06-16 00:00:00,Active
30,Lizol Baby Powder,Lizol,Baby Care,Baby Powder,302,1424.36,1828.78,0,180,37,180,4.82,g,2025-05-03 00:00:00,Active
31,Pedigree Paneer,Pedigree,Dairy,Paneer,97,1580.03,2047.27,0,30,93,317,1.27,kg,2023-11-28 00:00:00,Active
32,Colgate Mineral Water,Colgate,Beverages,Mineral Water,334,661.65,785.08,12,90,88,266,5.69,pcs,2026-07-06 00:00:00,Active
33,Colgate Baby Powder,Colgate,Baby Care,Baby Powder,92,1000.51,1360.45,12,365,91,297,2.61,L,2025-08-23 00:00:00,Active
34,Nestle Baby Powder,Nestle,Baby Care,Baby Powder,359,1349.85,1771.05,5,30,47,310,4.07,L,2022-05-14 00:00:00,Active
35,Sunfeast Sugar,Sunfeast,Grocery,Sugar,47,1736.76,1949.12,5,180,96,272,0.97,L,2023-11-25 00:00:00,Active
36,Britannia Cheese,Britannia,Dairy,Cheese,206,1308.22,1988.75,12,365,27,446,8.22,ml,2022-06-05 00:00:00,Active
37,Patanjali Mineral Water,Patanjali,Beverages,Mineral Water,265,74.99,103.32,5,365,41,395,0.46,g,2026-02-02 00:00:00,Active
38,Godrej Chips,Godrej,Snacks,Chips,203,1406.72,1789.13,18,365,45,315,0.25,kg,2022-11-29 00:00:00,Active
39,Nivea Bottle,Nivea,Kitchen,Bottle,494,1648.29,2092.8,12,60,97,149,4.6,ml,2023-05-04 00:00:00,Active
40,Colgate Shampoo,Colgate,Personal Care,Shampoo,258,918.64,1249.54,12,90,34,461,5.18,L,2021-01-10 00:00:00,Active
41,Sunfeast Face Wash,Sunfeast,Personal Care,Face Wash,388,1020.26,1480.48,12,180,107,285,8.98,kg,2026-01-03 00:00:00,Active
42,Sunfeast Soap,Sunfeast,Personal Care,Soap,347,1146.09,1773.58,5,90,72,230,5.21,kg,2022-03-24 00:00:00,Active
43,Fortune Shampoo,Fortune,Personal Care,Shampoo,421,181.02,255.18,12,30,90,141,4.82,L,2023-04-23 00:00:00,Active
44,Patanjali Shampoo,Patanjali,Personal Care,Shampoo,377,905.71,1092.16,5,90,46,167,2.11,g,2024-10-24 00:00:00,Active
45,Nestle Floor Cleaner,Nestle,Household,Floor Cleaner,490,228.98,264.19,18,365,20,441,8.59,kg,2024-02-08 00:00:00,Active
46,Aashirvaad Garbage Bags,Aashirvaad,Household,Garbage Bags,460,893.83,1379.81,12,180,43,441,9.17,L,2023-06-02 00:00:00,Active
47,Surf Excel Chips,Surf Excel,Snacks,Chips,277,1441.7,1911.23,0,365,64,251,8.62,g,2023-09-05 00:00:00,Active
48,Dettol Cheese,Dettol,Dairy,Cheese,346,578.44,649.95,5,180,94,101,3.32,pcs,2023-07-30 00:00:00,Active
49,Godrej Chocolate,Godrej,Snacks,Chocolate,314,438.29,579.72,12,90,43,305,4.3,ml,2021-11-05 00:00:00,Active
50,Sunfeast Dishwash Liquid,Sunfeast,Household,Dishwash Liquid,68,514.14,615.61,5,30,112,188,8.06,pcs,2024-03-21 00:00:00,Active
51,Parle Baby Powder,Parle,Baby Care,Baby Powder,243,1443.07,2074.52,0,60,73,305,1.43,pcs,2023-08-15 00:00:00,Active
52,Fortune Tissue Paper,Fortune,Household,Tissue Paper,25,462.99,689.46,18,30,108,133,0.69,L,2021-03-25 00:00:00,Active
53,Aashirvaad Butter,Aashirvaad,Dairy,Butter,286,478.69,610.3,12,90,22,260,1.3,pcs,2022-01-11 00:00:00,Active
54,Fortune Knife,Fortune,Kitchen,Knife,250,648.87,914.56,18,30,68,364,2.94,g,2021-04-28 00:00:00,Active
55,Pedigree Tissue Paper,Pedigree,Household,Tissue Paper,37,1035.37,1537.55,0,60,63,166,3.2,L,2022-10-12 00:00:00,Active
56,Dettol Baby Soap,Dettol,Baby Care,Baby Soap,383,1409.04,2146.91,18,180,41,144,8.56,g,2023-11-18 00:00:00,Active
57,Patanjali Soap,Patanjali,Personal Care,Soap,33,312.94,364.35,18,365,26,63,7.73,pcs,2022-09-05 00:00:00,Active
58,Godrej Milk,Godrej,Dairy,Milk,477,1118.31,1293.05,18,90,49,176,7.4,ml,2024-07-17 00:00:00,Active
59,Dabur Chocolate,Dabur,Snacks,Chocolate,441,66,92.75,12,180,79,495,5.45,L,2025-01-29 00:00:00,Active
60,Dabur Chocolate,Dabur,Snacks,Chocolate,384,1069.63,1407.97,18,365,101,377,5.38,L,2020-10-08 00:00:00,Active
61,Dettol Juice,Dettol,Beverages,Juice,80,564.54,732.35,12,30,20,317,8.17,g,2022-07-30 00:00:00,Active
62,Amul Pet Shampoo,Amul,Pet Care,Pet Shampoo,387,1242.67,1654.65,18,90,21,442,4.36,L,2023-04-29 00:00:00,Active
63,Tata Tea,Tata,Grocery,Tea,224,351.6,527.16,18,60,40,416,7.4,ml,2022-08-12 00:00:00,Active
64,ITC Mineral Water,ITC,Beverages,Mineral Water,392,768.7,940.13,12,90,103,430,5.37,L,2024-03-09 00:00:00,Active
65,Parle Curd,Parle,Dairy,Curd,317,531.93,741.44,18,90,109,368,4.97,L,2025-05-03 00:00:00,Active
66,Amul Tea,Amul,Grocery,Tea,138,346.9,403.78,5,180,113,54,2.4,g,2025-08-12 00:00:00,Active
67,Colgate Mineral Water,Colgate,Beverages,Mineral Water,191,571.16,836.05,18,30,62,91,8.45,g,2024-10-22 00:00:00,Active
68,Nivea Baby Lotion,Nivea,Baby Care,Baby Lotion,431,854.21,1027.31,12,180,21,112,9.75,g,2020-08-01 00:00:00,Active
69,Britannia Dog Food,Britannia,Pet Care,Dog Food,49,370.54,532.17,5,180,69,398,9.62,L,2021-04-13 00:00:00,Active
70,Nivea Suji,Nivea,Grocery,Suji,327,944.85,1161.15,12,60,66,76,8.65,g,2023-06-15 00:00:00,Discontinued
71,Aashirvaad Energy Drink,Aashirvaad,Beverages,Energy Drink,300,41.9,61.24,0,180,51,54,9.69,pcs,2022-08-10 00:00:00,Active
72,Pedigree Pet Shampoo,Pedigree,Pet Care,Pet Shampoo,128,291.66,423.33,5,180,31,401,6.22,kg,2025-12-02 00:00:00,Active
73,Nestle Chocolate,Nestle,Snacks,Chocolate,286,239.6,292.32,12,180,113,148,0.31,ml,2025-12-24 00:00:00,Active
74,Britannia Cookies,Britannia,Snacks,Cookies,151,881.26,1152.8,18,60,92,145,5.48,L,2023-05-11 00:00:00,Active
75,Nivea Hair Oil,Nivea,Personal Care,Hair Oil,231,301.21,406.15,12,90,89,237,4.6,pcs,2025-09-24 00:00:00,Active
76,Pedigree Chips,Pedigree,Snacks,Chips,123,1544.44,2245.13,12,30,104,325,8.21,g,2023-06-22 00:00:00,Active
77,Parle Pet Shampoo,Parle,Pet Care,Pet Shampoo,329,1109.28,1396.27,12,30,32,317,6.62,kg,2021-01-16 00:00:00,Active
78,Britannia Biscuits,Britannia,Snacks,Biscuits,51,375.71,499.21,0,365,102,478,3.95,ml,2020-09-16 00:00:00,Active
79,Tata Soap,Tata,Personal Care,Soap,7,408.99,584.31,5,180,30,289,8.03,kg,2021-11-16 00:00:00,Active
80,Britannia Baby Soap,Britannia,Baby Care,Baby Soap,21,1485.2,1833.18,0,90,29,160,9.61,kg,2025-06-08 00:00:00,Active
81,Patanjali Energy Drink,Patanjali,Beverages,Energy Drink,292,359.72,504.49,5,365,115,335,4.21,kg,2023-11-08 00:00:00,Active
82,Colgate Tissue Paper,Colgate,Household,Tissue Paper,93,1590.84,1895.85,18,365,63,386,1.67,pcs,2020-08-25 00:00:00,Active
83,Nivea Dishwash Liquid,Nivea,Household,Dishwash Liquid,191,1784.76,2248.09,18,180,112,215,6.12,pcs,2026-06-21 00:00:00,Active
84,Tata Baby Soap,Tata,Baby Care,Baby Soap,204,1731.55,2272.53,0,30,56,355,0.26,g,2025-09-05 00:00:00,Discontinued
85,Fortune Soap,Fortune,Personal Care,Soap,162,1772.14,2148.5,0,90,90,311,5.61,pcs,2023-05-05 00:00:00,Active
86,Tata Cooking Oil,Tata,Grocery,Cooking Oil,456,293.65,362.35,5,60,52,465,3.07,pcs,2021-08-19 00:00:00,Active
87,Aashirvaad Juice,Aashirvaad,Beverages,Juice,423,1430.33,1708.31,0,365,102,203,0.47,pcs,2026-02-16 00:00:00,Active
88,Tata Moong Dal,Tata,Grocery,Moong Dal,477,1585.43,2071.76,0,60,115,384,8.51,kg,2023-08-03 00:00:00,Active
89,Fortune Baby Lotion,Fortune,Baby Care,Baby Lotion,290,951.02,1195.72,5,90,84,407,2.29,kg,2025-07-30 00:00:00,Active
90,Pedigree Diapers,Pedigree,Baby Care,Diapers,222,1041.83,1207.21,12,180,38,117,3.43,ml,2020-12-17 00:00:00,Active
91,Sunfeast Tea,Sunfeast,Grocery,Tea,223,483.67,624.6,5,60,81,336,2.06,ml,2024-04-21 00:00:00,Active
92,HUL Soft Drink,HUL,Beverages,Soft Drink,166,142.88,207.75,0,30,105,261,4.29,L,2025-12-13 00:00:00,Active
93,Amul Garbage Bags,Amul,Household,Garbage Bags,180,1388.88,1656.63,18,365,38,275,0.54,g,2022-02-17 00:00:00,Active
94,ITC Floor Cleaner,ITC,Household,Floor Cleaner,486,215.58,246.51,5,90,21,225,6.97,kg,2025-05-08 00:00:00,Active
95,Aashirvaad Dog Food,Aashirvaad,Pet Care,Dog Food,105,388.08,524.43,12,365,81,368,7.33,g,2024-04-23 00:00:00,Active
96,Mamaearth Chana Dal,Mamaearth,Grocery,Chana Dal,131,1632.28,2197.9,5,30,56,152,7.91,pcs,2025-03-03 00:00:00,Active
97,Amul Pet Shampoo,Amul,Pet Care,Pet Shampoo,340,133.88,187.96,12,30,22,199,8.69,ml,2022-04-21 00:00:00,Active
98,Aashirvaad Baby Lotion,Aashirvaad,Baby Care,Baby Lotion,46,880.12,1211.71,5,60,84,284,5.65,kg,2025-03-28 00:00:00,Active
99,Aashirvaad Bottle,Aashirvaad,Kitchen,Bottle,10,889.53,1281,12,90,65,370,3.09,pcs,2024-07-05 00:00:00,Active
100,Godrej Poha,Godrej,Grocery,Poha,418,1583.44,2379.71,0,365,55,165,1.6,ml,2023-07-24 00:00:00,Active
101,Surf Excel Butter,Surf Excel,Dairy,Butter,321,1729.68,2392.76,5,180,50,343,1.61,L,2020-12-29 00:00:00,Active
102,Nivea Tissue Paper,Nivea,Household,Tissue Paper,298,250.21,350.43,5,60,59,402,7.08,pcs,2023-09-23 00:00:00,Active
103,Mamaearth Baby Powder,Mamaearth,Baby Care,Baby Powder,286,1652.05,2075.84,0,60,60,479,8.81,kg,2023-04-07 00:00:00,Active
104,Fortune Diapers,Fortune,Baby Care,Diapers,458,805.76,1225.98,12,60,119,146,1.16,g,2022-08-10 00:00:00,Active
105,Mamaearth Hair Oil,Mamaearth,Personal Care,Hair Oil,119,1108.07,1525.19,0,90,30,402,7.82,g,2026-01-17 00:00:00,Active
106,Tata Pet Shampoo,Tata,Pet Care,Pet Shampoo,243,343.4,441.82,5,60,44,165,0.42,kg,2021-09-18 00:00:00,Active
107,Patanjali Baby Powder,Patanjali,Baby Care,Baby Powder,475,1367.63,1570.64,18,365,82,402,3.32,ml,2020-10-20 00:00:00,Active
108,Britannia Diapers,Britannia,Baby Care,Diapers,369,1100.15,1622.13,12,180,98,430,5.76,pcs,2023-08-15 00:00:00,Active
109,Nestle Tea,Nestle,Grocery,Tea,22,821.12,1211.66,5,365,88,252,9.84,kg,2024-07-03 00:00:00,Active
110,Patanjali Pressure Cooker,Patanjali,Kitchen,Pressure Cooker,156,534.76,690.46,12,180,41,266,3.01,kg,2024-07-02 00:00:00,Active
111,Dettol Namkeen,Dettol,Snacks,Namkeen,93,176.44,235.6,5,180,72,215,4.56,g,2024-12-15 00:00:00,Active
112,ITC Energy Drink,ITC,Beverages,Energy Drink,465,461.4,654.01,5,30,31,108,7.09,L,2024-07-01 00:00:00,Active
113,Sunfeast Baby Powder,Sunfeast,Baby Care,Baby Powder,88,997.37,1135.88,12,365,104,491,1.59,g,2021-05-29 00:00:00,Active
114,Fortune Chana Dal,Fortune,Grocery,Chana Dal,229,567.49,823.15,12,60,35,117,9.61,kg,2026-06-27 00:00:00,Active
115,Dettol Soap,Dettol,Personal Care,Soap,414,903.27,1205.34,0,365,83,171,2.25,ml,2024-01-17 00:00:00,Active
116,Pedigree Dog Food,Pedigree,Pet Care,Dog Food,281,1086.18,1330.82,12,365,100,335,8.22,g,2025-08-17 00:00:00,Active
117,Tata Chips,Tata,Snacks,Chips,342,80.55,119.79,12,90,31,75,1.18,g,2021-10-25 00:00:00,Active
118,Pedigree Hair Oil,Pedigree,Personal Care,Hair Oil,495,1036.52,1411.47,18,365,66,68,1.02,L,2022-09-03 00:00:00,Active
119,Colgate Baby Lotion,Colgate,Baby Care,Baby Lotion,242,1520.31,1745.19,5,30,108,490,2.82,pcs,2026-05-24 00:00:00,Active
120,Pedigree Soft Drink,Pedigree,Beverages,Soft Drink,323,118.86,162.33,0,180,112,402,6.09,L,2023-03-21 00:00:00,Active
121,Surf Excel Dishwash Liquid,Surf Excel,Household,Dishwash Liquid,475,1041.63,1445.78,5,365,92,304,5.25,ml,2025-07-10 00:00:00,Active
122,HUL Chocolate,HUL,Snacks,Chocolate,1,1279.83,1972.32,0,30,79,370,7.99,g,2023-09-30 00:00:00,Active
123,Britannia Diapers,Britannia,Baby Care,Diapers,327,610.82,831.31,5,30,101,153,6.93,L,2022-12-07 00:00:00,Active
124,Surf Excel Toothpaste,Surf Excel,Personal Care,Toothpaste,59,996.74,1445.1,12,90,70,420,5.73,kg,2025-02-12 00:00:00,Active
125,Aashirvaad Mineral Water,Aashirvaad,Beverages,Mineral Water,243,1661.27,2202.87,0,60,81,129,6.31,pcs,2025-02-10 00:00:00,Active
126,Britannia Cat Food,Britannia,Pet Care,Cat Food,372,1505.66,1880.14,12,365,88,59,2.16,L,2023-07-31 00:00:00,Active
127,Parle Detergent,Parle,Household,Detergent,193,515.62,584.41,5,365,97,249,1.96,kg,2026-01-27 00:00:00,Active
128,Britannia Toothpaste,Britannia,Personal Care,Toothpaste,450,499.62,578.22,5,90,77,474,9.51,g,2023-09-12 00:00:00,Active
129,Tata Chips,Tata,Snacks,Chips,468,1416.13,2059.69,0,180,84,62,8.01,pcs,2021-05-18 00:00:00,Active
130,Surf Excel Tissue Paper,Surf Excel,Household,Tissue Paper,394,568.99,717.36,0,365,106,117,2.13,kg,2024-01-04 00:00:00,Active
131,Amul Pressure Cooker,Amul,Kitchen,Pressure Cooker,435,570.1,649.31,0,90,79,73,1.12,L,2025-04-02 00:00:00,Active
132,Aashirvaad Shampoo,Aashirvaad,Personal Care,Shampoo,273,372.99,463.71,12,180,105,110,2.8,g,2022-02-15 00:00:00,Active
133,Nivea Coffee,Nivea,Grocery,Coffee,180,932.6,1127.35,12,90,38,410,8.06,pcs,2020-12-16 00:00:00,Active
134,Pedigree Paneer,Pedigree,Dairy,Paneer,26,1607.65,2174.26,5,30,80,395,0.6,ml,2023-01-17 00:00:00,Active
135,Dabur Diapers,Dabur,Baby Care,Diapers,323,1272.85,1913.41,18,365,65,209,3.39,g,2023-07-09 00:00:00,Active
136,Dettol Pressure Cooker,Dettol,Kitchen,Pressure Cooker,411,1028.5,1193.01,18,30,78,208,6.88,ml,2023-09-19 00:00:00,Active
137,Pedigree Soft Drink,Pedigree,Beverages,Soft Drink,94,475.62,607.03,12,90,78,299,0.4,ml,2021-01-11 00:00:00,Active
138,Dabur Cat Food,Dabur,Pet Care,Cat Food,295,518.83,658.86,5,365,33,257,8.19,kg,2023-04-30 00:00:00,Active
139,Nivea Paneer,Nivea,Dairy,Paneer,123,837.84,1151.13,5,365,40,296,3.9,L,2026-05-30 00:00:00,Active
140,Mamaearth Diapers,Mamaearth,Baby Care,Diapers,121,1420.38,1923.4,5,30,114,414,5.78,ml,2021-03-20 00:00:00,Active
141,Nivea Cat Food,Nivea,Pet Care,Cat Food,158,189.31,248.27,18,30,96,105,6.89,pcs,2021-05-31 00:00:00,Active
142,Lizol Baby Soap,Lizol,Baby Care,Baby Soap,112,1166.31,1337.1,5,365,116,375,8.12,g,2022-11-01 00:00:00,Active
143,Fortune Pet Shampoo,Fortune,Pet Care,Pet Shampoo,101,711.12,973.18,5,90,58,341,7.96,L,2022-07-09 00:00:00,Active
144,ITC Baby Soap,ITC,Baby Care,Baby Soap,262,1055.17,1459.24,18,60,57,81,3.76,pcs,2024-01-21 00:00:00,Active
145,Nivea Suji,Nivea,Grocery,Suji,441,1480.04,1886.27,12,30,50,271,7.05,ml,2026-04-01 00:00:00,Active
146,Sunfeast Diapers,Sunfeast,Baby Care,Diapers,89,791.81,958.74,18,60,44,334,3.91,L,2020-09-09 00:00:00,Active
147,Parle Cookies,Parle,Snacks,Cookies,9,254.69,293.11,5,180,104,273,9.75,g,2026-04-16 00:00:00,Active
148,Pedigree Diapers,Pedigree,Baby Care,Diapers,233,1675.61,2325.74,18,365,77,246,3.62,g,2023-03-14 00:00:00,Active
149,Lizol Coffee,Lizol,Grocery,Coffee,257,1526.54,1865.13,12,180,89,345,3.73,kg,2020-09-28 00:00:00,Active
150,Mamaearth Detergent,Mamaearth,Household,Detergent,73,874.54,1239.15,12,180,86,90,5.28,pcs,2022-06-25 00:00:00,Active
151,ITC Pet Shampoo,ITC,Pet Care,Pet Shampoo,297,1236.07,1670.99,12,365,26,225,5.4,kg,2023-05-22 00:00:00,Active
152,Mamaearth Lunch Box,Mamaearth,Kitchen,Lunch Box,492,1324.86,1723.69,12,90,41,68,6.98,pcs,2021-05-06 00:00:00,Active
153,Lizol Soap,Lizol,Personal Care,Soap,337,1046.98,1430.52,12,365,23,196,4.9,g,2024-02-27 00:00:00,Active
154,Parle Toothpaste,Parle,Personal Care,Toothpaste,132,1114.2,1379.76,0,30,97,139,9.11,g,2022-03-28 00:00:00,Active
155,Godrej Floor Cleaner,Godrej,Household,Floor Cleaner,93,1411.81,1724.62,0,90,30,124,6,g,2026-03-17 00:00:00,Active
156,HUL Diapers,HUL,Baby Care,Diapers,86,1194.29,1710.44,5,365,113,481,3.52,L,2026-04-26 00:00:00,Active
157,Dabur Milk,Dabur,Dairy,Milk,244,843.27,1117.15,5,180,107,411,3.96,L,2026-01-04 00:00:00,Active
158,Fortune Baby Lotion,Fortune,Baby Care,Baby Lotion,348,1670.09,2192.82,12,365,107,71,1.06,pcs,2023-07-18 00:00:00,Active
159,Aashirvaad Baby Soap,Aashirvaad,Baby Care,Baby Soap,131,497.53,728.88,18,180,118,395,7.52,pcs,2026-02-14 00:00:00,Active
160,Dabur Bottle,Dabur,Kitchen,Bottle,5,574.19,645.7,0,30,72,100,5.3,ml,2023-10-01 00:00:00,Active
161,Patanjali Toothpaste,Patanjali,Personal Care,Toothpaste,30,75.76,105.03,5,365,101,112,7.11,kg,2020-11-07 00:00:00,Active
162,Mamaearth Namkeen,Mamaearth,Snacks,Namkeen,57,1448.71,1737.66,5,90,57,289,6.64,kg,2022-07-26 00:00:00,Active
163,Aashirvaad Face Wash,Aashirvaad,Personal Care,Face Wash,142,474.35,690.52,0,180,69,220,9.96,L,2022-02-27 00:00:00,Active
164,Dettol Shampoo,Dettol,Personal Care,Shampoo,103,138.88,214.04,18,60,102,301,1.17,pcs,2023-03-28 00:00:00,Active
165,Dettol Juice,Dettol,Beverages,Juice,38,1291.99,1504.41,0,365,113,178,7.79,kg,2024-04-12 00:00:00,Active
166,Britannia Chips,Britannia,Snacks,Chips,359,1201.32,1483.11,12,180,93,51,5.2,ml,2023-04-26 00:00:00,Active
167,Nivea Baby Lotion,Nivea,Baby Care,Baby Lotion,353,418.14,537.44,18,30,92,324,9.36,L,2022-05-21 00:00:00,Active
168,Britannia Face Wash,Britannia,Personal Care,Face Wash,47,1143.61,1752.35,12,365,63,91,8.43,L,2021-07-16 00:00:00,Active
169,Britannia Chocolate,Britannia,Snacks,Chocolate,154,1742.01,2445.98,18,30,100,402,3.66,kg,2021-04-12 00:00:00,Active
170,Patanjali Pet Shampoo,Patanjali,Pet Care,Pet Shampoo,369,264.8,318.56,5,180,69,82,7.95,L,2020-11-08 00:00:00,Active
171,Britannia Dog Food,Britannia,Pet Care,Dog Food,370,620.62,785.22,0,180,35,158,8.09,pcs,2024-09-11 00:00:00,Active
172,Mamaearth Knife,Mamaearth,Kitchen,Knife,377,430.88,495.93,5,180,103,59,4.77,pcs,2023-11-28 00:00:00,Active
173,Dabur Chips,Dabur,Snacks,Chips,421,1144.3,1726.75,0,180,98,137,8.37,kg,2021-05-02 00:00:00,Active
174,Lizol Milk,Lizol,Dairy,Milk,33,1077.03,1491.39,5,180,63,465,8.38,ml,2022-08-03 00:00:00,Active
175,Aashirvaad Knife,Aashirvaad,Kitchen,Knife,392,1508.02,2203.27,0,365,42,221,0.73,L,2026-02-08 00:00:00,Active
176,Tata Baby Powder,Tata,Baby Care,Baby Powder,474,1002.83,1312.33,0,60,32,455,8.49,pcs,2020-09-10 00:00:00,Active
177,Lizol Chips,Lizol,Snacks,Chips,475,159.09,178.67,0,365,56,263,6.97,ml,2025-12-31 00:00:00,Active
178,Godrej Soft Drink,Godrej,Beverages,Soft Drink,481,948.71,1230.64,5,365,108,69,6,ml,2025-03-14 00:00:00,Active
179,Tata Paneer,Tata,Dairy,Paneer,99,762.53,1036.9,0,365,32,366,3.68,pcs,2024-11-11 00:00:00,Active
180,Patanjali Pet Shampoo,Patanjali,Pet Care,Pet Shampoo,408,508.42,611.78,5,180,83,140,1.68,kg,2021-10-14 00:00:00,Active
181,Patanjali Dishwash Liquid,Patanjali,Household,Dishwash Liquid,413,790.89,999.48,18,30,33,429,0.62,pcs,2026-03-25 00:00:00,Active
182,Surf Excel Cooking Oil,Surf Excel,Grocery,Cooking Oil,370,222.18,334.36,18,365,94,216,4.25,L,2025-08-05 00:00:00,Active
183,HUL Paneer,HUL,Dairy,Paneer,446,190.04,273.13,5,180,48,87,4.76,ml,2024-06-23 00:00:00,Active
184,Patanjali Baby Powder,Patanjali,Baby Care,Baby Powder,199,1671.28,2198.81,12,60,78,418,2.02,L,2023-12-04 00:00:00,Discontinued
185,Parle Mineral Water,Parle,Beverages,Mineral Water,144,72.29,98.64,5,30,79,284,4.24,L,2021-09-27 00:00:00,Active
186,Dabur Hair Oil,Dabur,Personal Care,Hair Oil,314,1424.34,1986.01,5,365,90,487,2.37,ml,2024-12-09 00:00:00,Active
187,Mamaearth Dog Food,Mamaearth,Pet Care,Dog Food,8,860.18,1134.57,18,60,51,217,4.4,g,2021-04-28 00:00:00,Active
188,Amul Chocolate,Amul,Snacks,Chocolate,241,760.72,866.47,0,180,87,251,4.84,kg,2022-08-09 00:00:00,Active
189,Nivea Juice,Nivea,Beverages,Juice,209,1359.25,1927.5,5,60,65,201,2.47,kg,2022-05-07 00:00:00,Active
190,Dettol Shampoo,Dettol,Personal Care,Shampoo,13,1546.39,2228.86,18,180,118,120,8.75,ml,2024-04-27 00:00:00,Active
191,Amul Tissue Paper,Amul,Household,Tissue Paper,458,1550.78,1784.02,12,365,24,201,4.32,L,2025-03-27 00:00:00,Active
192,Patanjali Frying Pan,Patanjali,Kitchen,Frying Pan,451,1421.03,1641.02,12,30,85,395,3.7,kg,2021-01-03 00:00:00,Active
193,Pedigree Tissue Paper,Pedigree,Household,Tissue Paper,332,87.96,112.37,0,365,110,446,2.13,L,2025-09-01 00:00:00,Active
194,Mamaearth Butter,Mamaearth,Dairy,Butter,386,1569.97,2232.85,5,90,65,186,5.09,ml,2022-11-19 00:00:00,Active
